imagecol,imagerow,cluster.init
147,258,2
217,114,4
144,112,4
172,207,3
156,252,2
216,269,2
140,297,1
155,106,4
264,147,4
183,108,4
195,248,2
114,303,1
205,255,2
98,265,2
123,297,1
180,344,0
123,214,3
224,218,3
208,263,2
135,261,2
204,110,4
162,210,3
151,343,0
235,120,4
228,214,3
184,102,4
163,344,0
106,214,3
231,222,3
118,261,2
199,250,2
183,295,1
211,297,1
167,340,0
214,305,1
227,120,4
191,206,3
175,251,2
182,250,2
159,296,1
166,295,1
194,297,1
150,340,0
174,106,4
158,251,2
165,250,2
142,296,1
149,295,1
142,213,3
157,106,4
226,117,4
181,210,3
125,296,1
125,213,3
198,299,1
182,344,0
258,140,4
210,263,2
112,266,2
206,110,4
136,115,4
164,210,3
148,255,2
233,221,3
165,344,0
141,294,1
141,211,3
104,222,3
95,266,2
213,213,3
185,295,1
204,257,2
120,128,4
197,259,2
184,249,2
131,123,4
168,295,1
140,117,4
152,340,0
205,207,3
152,257,2
98,217,3
237,130,4
108,307,1
188,107,4
151,295,1
135,340,0
144,213,3
217,215,3
201,260,2
135,257,2
212,211,3
119,302,1
220,306,1
119,126,4
228,117,4
171,107,4
183,247,2
184,343,0
167,292,1
127,213,3
167,209,3
195,211,3
215,108,4
260,140,4
114,266,2
215,270,2
207,302,1
150,292,1
150,209,3
235,221,3
163,107,4
198,108,4
162,256,2
97,266,2
222,212,3
117,216,3
206,257,2
199,296,1
183,341,0
126,211,3
142,116,4
207,107,4
161,338,0
154,256,2
179,205,3
163,250,2
198,251,2
239,223,3
153,294,1
162,105,4
190,107,4
137,339,0
153,211,3
137,256,2
121,301,1
251,137,4
186,292,1
121,218,3
186,209,3
105,263,2
130,295,1
222,306,1
130,212,3
173,107,4
233,124,4
185,247,2
169,292,1
141,114,4
104,218,3
169,209,3
116,265,2
113,212,3
238,220,3
156,107,4
222,111,4
152,292,1
152,209,3
125,127,4
221,303,1
234,118,4
201,295,1
135,292,1
189,249,2
135,209,3
96,217,3
103,216,3
144,116,4
151,115,4
269,149,4
213,303,1
241,222,3
172,249,2
156,294,1
140,339,0
168,341,0
188,208,3
139,256,2
123,301,1
224,305,1
180,348,0
107,263,2
208,267,2
205,297,1
132,295,1
139,294,1
256,145,4
150,112,4
235,124,4
171,208,3
155,253,2
143,114,4
106,218,3
115,212,3
240,220,3
196,108,4
218,300,1
154,208,3
129,297,1
220,212,3
122,299,1
223,303,1
122,216,3
207,265,2
179,108,4
191,248,2
175,293,1
239,126,4
159,338,0
105,215,3
194,256,2
206,303,1
214,207,3
158,293,1
142,338,0
142,255,2
166,104,4
190,208,3
197,207,3
181,252,2
182,348,0
134,211,3
238,123,4
210,267,2
153,257,2
121,264,2
105,309,1
152,112,4
173,208,3
164,252,2
218,116,4
148,297,1
242,219,3
205,106,4
250,138,4
104,264,2
156,208,3
147,252,2
131,297,1
131,121,4
124,215,3
225,219,3
262,146,4
209,264,2
143,261,2
212,110,4
257,142,4
133,209,3
184,291,1
241,125,4
177,293,1
196,255,2
244,133,4
107,215,3
123,121,4
219,214,3
160,293,1
132,115,4
175,102,4
144,338,0
160,210,3
144,255,2
229,221,3
213,266,2
167,296,1
180,105,4
240,123,4
176,207,3
111,300,1
123,264,2
107,309,1
220,115,4
150,296,1
163,105,4
227,114,4
150,213,3
216,300,1
159,207,3
219,308,1
106,264,2
199,300,1
206,299,1
183,345,0
126,215,3
214,110,4
267,153,4
198,255,2
138,343,0
219,113,4
173,344,0
179,247,2
163,292,1
191,294,1
191,211,3
134,114,4
193,295,1
146,254,2
130,299,1
137,298,1
130,216,3
146,292,1
145,109,4
263,143,4
189,104,4
141,118,4
266,151,4
113,299,1
120,298,1
113,216,3
245,130,4
238,224,3
132,262,2
197,253,2
181,298,1
100,269,2
131,117,4
143,340,0
152,213,3
136,258,2
221,307,1
161,207,3
230,218,3
189,253,2
135,213,3
217,209,3
103,220,3
201,254,2
269,153,4
242,133,4
112,214,3
172,253,2
128,120,4
140,343,0
204,205,3
205,301,1
139,298,1
188,250,2
107,305,1
265,143,4
160,256,2
159,110,4
268,151,4
187,205,3
171,250,2
155,295,1
115,216,3
240,224,3
174,341,0
102,269,2
227,215,3
170,205,3
122,303,1
138,295,1
150,259,2
232,218,3
210,298,1
121,295,1
203,254,2
171,344,0
117,304,1
114,214,3
130,119,4
226,212,3
154,344,0
238,127,4
206,205,3
190,250,2
136,210,3
225,118,4
270,150,4
137,344,0
130,262,2
161,110,4
168,109,4
189,205,3
173,250,2
157,295,1
129,117,4
230,121,4
141,340,0
148,339,0
157,212,3
104,268,2
113,262,2
217,112,4
172,205,3
156,250,2
216,267,2
140,295,1
264,145,4
140,212,3
237,225,3
274,152,4
98,263,2
196,297,1
123,295,1
180,342,0
123,212,3
208,261,2
204,108,4
256,139,4
103,266,2
151,341,0
144,297,1
231,220,3
261,148,4
187,108,4
156,344,0
102,221,3
183,293,1
196,102,4
240,127,4
167,338,0
211,212,3
176,249,2
127,297,1
188,296,1
139,344,0
205,264,2
139,261,2
166,293,1
122,123,4
138,115,4
150,338,0
159,211,3
232,121,4
203,206,3
142,211,3
126,257,2
129,264,2
218,305,1
226,115,4
179,251,2
163,296,1
198,297,1
174,247,2
182,342,0
210,261,2
206,108,4
202,210,3
146,296,1
165,342,0
141,209,3
189,108,4
185,293,1
169,338,0
185,210,3
245,134,4
197,257,2
255,141,4
262,140,4
109,267,2
168,293,1
140,115,4
152,338,0
168,210,3
152,255,2
230,222,3
161,249,2
145,294,1
108,305,1
188,105,4
217,213,3
144,211,3
151,210,3
201,258,2
212,209,3
119,300,1
249,136,4
119,124,4
112,218,3
96,263,2
228,115,4
209,107,4
127,211,3
167,207,3
241,130,4
192,107,4
207,300,1
220,109,4
216,211,3
143,209,3
217,307,1
200,256,2
123,126,4
268,155,4
232,117,4
175,107,4
180,248,2
199,294,1
199,211,3
126,209,3
142,114,4
111,267,2
260,149,4
163,248,2
151,109,4
232,222,3
239,221,3
166,339,0
182,211,3
94,267,2
121,216,3
203,258,2
186,207,3
130,293,1
222,304,1
178,347,0
114,218,3
130,210,3
206,266,2
203,296,1
146,116,4
211,107,4
158,339,0
141,112,4
169,207,3
97,218,3
179,297,1
243,130,4
163,342,0
109,219,3
194,107,4
271,154,4
190,292,1
125,125,4
218,211,3
134,295,1
202,256,2
146,342,0
146,259,2
177,107,4
129,121,4
237,124,4
148,343,0
182,248,2
189,247,2
173,292,1
145,114,4
120,265,2
181,103,4
160,107,4
165,248,2
172,247,2
156,292,1
149,210,3
164,103,4
225,303,1
136,346,0
136,263,2
180,346,0
208,265,2
205,295,1
139,292,1
256,143,4
132,210,3
151,256,2
100,217,3
155,251,2
216,114,4
212,299,1
196,106,4
248,137,4
192,208,3
220,210,3
176,253,2
127,301,1
127,125,4
195,299,1
122,297,1
252,133,4
122,214,3
223,218,3
207,263,2
179,106,4
175,291,1
239,124,4
175,208,3
203,210,3
159,253,2
147,114,4
162,344,0
115,304,1
158,291,1
195,104,4
158,208,3
224,212,3
219,208,3
126,299,1
138,262,2
211,265,2
181,250,2
134,209,3
238,121,4
174,206,3
202,208,3
121,262,2
210,303,1
105,307,1
218,114,4
141,213,3
148,212,3
146,338,0
214,299,1
150,207,3
170,104,4
198,106,4
130,124,4
194,208,3
124,213,3
262,144,4
197,299,1
181,344,0
257,140,4
125,264,2
177,291,1
109,309,1
149,113,4
267,147,4
177,208,3
161,253,2
158,107,4
164,344,0
108,264,2
160,291,1
160,208,3
128,298,1
135,121,4
128,215,3
147,344,0
229,219,3
213,264,2
137,292,1
209,111,4
261,142,4
240,121,4
176,205,3
104,216,3
111,215,3
114,306,1
201,105,4
216,215,3
200,260,2
219,306,1
172,104,4
132,124,4
187,251,2
171,296,1
184,105,4
199,298,1
155,341,0
214,108,4
208,209,3
192,254,2
240,132,4
127,264,2
170,251,2
224,115,4
151,113,4
154,296,1
138,341,0
272,154,4
191,209,3
122,128,4
231,119,4
195,205,3
203,300,1
186,249,2
187,345,0
158,254,2
117,267,2
141,116,4
157,109,4
113,214,3
178,205,3
238,222,3
162,250,2
169,249,2
243,134,4
181,296,1
255,135,4
93,269,2
203,105,4
134,299,1
136,294,1
129,212,3
230,216,3
202,298,1
148,258,2
263,152,4
157,341,0
103,218,3
201,252,2
242,131,4
210,209,3
194,254,2
160,111,4
172,251,2
156,296,1
128,118,4
229,122,4
140,341,0
140,258,2
124,303,1
254,139,4
225,307,1
124,127,4
165,207,3
149,252,2
176,108,4
188,248,2
139,296,1
123,258,2
107,303,1
116,297,1
217,301,1
268,149,4
128,261,2
112,306,1
155,293,1
155,210,3
172,345,0
102,267,2
207,267,2
204,297,1
131,212,3
232,216,3
212,108,4
184,206,3
187,297,1
171,342,0
114,212,3
167,106,4
195,108,4
202,107,4
146,110,4
170,297,1
259,146,4
154,342,0
211,269,2
178,108,4
236,218,3
190,248,2
174,293,1
181,292,1
174,210,3
193,256,2
93,265,2
118,297,1
137,259,2
161,108,4
251,140,4
203,263,2
173,248,2
105,266,2
157,293,1
230,119,4
141,338,0
157,210,3
141,255,2
158,344,0
194,250,2
140,210,3
206,297,1
209,304,1
274,150,4
247,130,4
134,262,2
