imagecol,imagerow,cluster.init
225,100,3
265,75,4
238,110,3
253,19,5
179,189,1
118,34,6
271,86,4
83,292,0
237,64,4
219,22,5
238,18,5
90,282,0
200,97,3
215,61,4
246,113,3
275,23,5
85,50,6
188,208,1
154,186,1
228,16,5
274,32,5
258,77,4
196,127,2
203,126,2
269,87,4
111,36,6
208,100,3
71,56,6
118,35,6
236,19,5
176,190,1
255,15,5
220,64,4
251,116,3
265,18,5
228,134,2
235,133,2
230,104,3
240,107,3
204,26,5
184,193,1
212,96,3
268,26,5
252,71,4
113,41,6
231,142,2
240,15,5
248,110,3
189,130,2
231,59,4
215,125,2
64,59,6
220,99,3
90,54,6
250,71,4
159,190,1
260,74,4
239,145,2
248,18,5
97,44,6
210,97,3
183,132,2
232,63,4
239,62,4
273,84,4
116,40,6
193,213,1
257,129,3
94,284,0
220,128,2
270,22,5
254,67,4
233,138,2
214,59,4
238,112,3
186,131,2
245,111,3
198,125,2
212,126,2
203,99,3
234,151,2
273,30,5
73,54,6
92,50,6
103,303,0
257,75,4
245,19,5
97,283,0
171,189,1
215,63,4
246,115,3
253,114,3
222,62,4
220,129,2
237,159,2
69,63,6
225,103,3
265,78,4
238,113,3
84,286,0
203,128,2
179,192,1
118,37,6
272,18,5
244,66,4
181,187,1
101,304,0
240,158,2
200,100,3
112,39,6
92,289,0
205,95,3
275,26,5
235,135,2
228,19,5
154,189,1
259,71,4
238,142,2
247,15,5
180,184,1
212,64,4
254,14,5
264,17,5
238,59,4
94,47,6
163,183,1
77,289,0
186,196,1
255,18,5
222,126,2
239,156,2
251,119,3
258,118,3
227,100,3
246,62,4
235,136,2
230,107,3
240,110,3
204,29,5
237,140,2
75,289,0
239,64,4
184,196,1
252,74,4
230,15,5
163,184,1
240,18,5
190,217,1
202,97,3
248,113,3
101,285,0
231,62,4
277,23,5
91,48,6
187,204,1
156,186,1
214,61,4
245,113,3
260,77,4
86,284,0
239,148,2
210,100,3
241,152,2
239,65,4
193,216,1
178,190,1
259,136,3
216,28,5
222,64,4
253,116,3
271,16,5
192,129,2
94,287,0
84,50,6
227,130,2
270,25,5
106,41,6
107,38,6
232,104,3
223,18,5
156,187,1
254,70,4
191,216,1
233,141,2
206,26,5
192,213,1
245,114,3
186,134,2
214,62,4
263,73,4
249,13,5
251,17,5
244,68,4
92,53,6
75,61,6
257,78,4
178,191,1
271,17,5
253,117,3
99,290,0
226,97,3
241,61,4
82,51,6
255,121,3
161,190,1
254,16,5
180,186,1
232,139,2
264,19,5
265,81,4
225,23,5
84,289,0
91,288,0
185,132,2
204,94,3
267,85,4
101,307,0
197,96,3
247,110,3
234,17,5
262,19,5
86,47,6
112,42,6
99,291,0
154,192,1
259,74,4
180,187,1
214,126,2
