imagecol,imagerow,cluster.init
75,294,0
176,23,5
160,204,1
171,22,5
251,97,3
161,203,1
275,50,4
165,30,5
98,32,6
179,25,5
173,28,5
164,200,1
81,299,0
278,47,4
168,27,5
96,27,6
232,136,2
77,297,0
249,101,3
167,32,5
98,33,6
274,50,4
235,133,2
252,98,3
100,28,6
172,28,5
277,47,4
231,131,2
95,27,6
278,46,4
234,132,2
178,21,5
276,52,4
166,32,5
158,199,1
97,33,6
95,28,6
169,29,5
76,298,0
273,46,4
167,24,5
79,294,0
163,202,1
177,21,5
175,27,5
253,103,3
99,29,6
94,28,6
248,102,3
75,297,0
278,49,4
176,26,5
80,299,0
171,25,5
78,294,0
230,133,2
174,22,5
159,201,1
235,135,2
164,203,1
96,30,6
168,30,5
233,130,2
250,98,3
177,24,5
77,300,0
164,28,5
99,32,6
235,136,2
178,23,5
100,29,6
173,22,5
75,300,0
277,50,4
231,134,2
170,26,5
78,297,0
165,25,5
98,27,6
252,101,3
79,296,0
173,23,5
232,131,2
169,32,5
234,135,2
163,203,1
164,31,5
251,100,3
158,202,1
178,26,5
172,23,5
163,28,5
236,132,2
94,31,6
160,199,1
273,51,4
171,28,5
166,27,5
97,28,6
247,99,3
174,25,5
272,48,4
169,24,5
81,294,0
233,133,2
250,101,3
177,27,5
159,204,1
253,98,3
236,135,2
248,97,3
95,31,6
176,21,5
80,294,0
171,31,5
167,27,5
247,102,3
98,30,6
179,23,5
235,130,2
168,25,5
170,29,5
77,295,0
251,103,3
276,47,4
158,205,1
176,24,5
172,26,5
163,31,5
80,297,0
249,99,3
96,33,6
161,204,1
273,52,4
162,201,1
175,22,5
174,28,5
253,100,3
272,51,4
169,27,5
160,202,1
164,26,5
76,296,0
78,300,0
275,48,4
165,28,5
172,29,5
81,297,0
231,132,2
253,101,3
248,100,3
162,204,1
232,134,2
171,23,5
167,30,5
274,48,4
99,27,6
75,295,0
164,201,1
165,31,5
234,130,2
177,22,5
77,298,0
274,49,4
276,50,4
97,31,6
80,300,0
249,102,3
233,136,2
247,97,3
163,200,1
252,99,3
175,25,5
170,24,5
160,205,1
234,133,2
163,201,1
251,98,3
158,200,1
178,24,5
275,51,4
100,30,6
230,131,2
159,199,1
179,26,5
163,26,5
81,300,0
278,48,4
168,28,5
96,28,6
76,299,0
248,103,3
273,47,4
230,132,2
274,51,4
235,134,2
99,30,6
236,130,2
75,298,0
272,46,4
176,27,5
277,48,4
78,295,0
159,202,1
163,29,5
173,21,5
164,204,1
168,31,5
95,29,6
162,199,1
169,30,5
164,29,5
167,25,5
252,102,3
100,32,6
175,28,5
231,135,2
170,27,5
94,29,6
278,50,4
234,136,2
273,49,4
171,26,5
178,25,5
79,297,0
251,101,3
166,25,5
173,24,5
230,134,2
174,23,5
249,97,3
96,31,6
233,131,2
273,50,4
79,298,0
250,99,3
166,26,5
177,25,5
172,24,5
99,33,6
236,133,2
94,32,6
160,200,1
277,51,4
171,29,5
97,29,6
161,199,1
78,298,0
275,46,4
247,100,3
165,26,5
174,26,5
159,205,1
98,28,6
179,21,5
81,295,0
162,202,1
232,132,2
250,102,3
163,204,1
164,32,5
167,28,5
158,203,1
274,46,4
178,27,5
173,26,5
176,22,5
80,295,0
170,30,5
161,202,1
165,29,5
79,300,0
276,48,4
166,28,5
173,27,5
164,199,1
168,26,5
232,135,2
272,49,4
169,25,5
233,134,2
76,294,0
177,28,5
252,97,3
100,27,6
172,27,5
163,32,5
175,23,5
231,130,2
236,136,2
248,98,3
160,203,1
166,31,5
97,32,6
247,103,3
98,31,6
179,24,5
235,131,2
272,52,4
81,298,0
76,297,0
275,49,4
77,296,0
99,28,6
253,102,3
94,27,6
173,29,5
75,296,0
176,25,5
80,298,0
277,46,4
249,100,3
171,24,5
161,205,1
167,31,5
179,27,5
164,202,1
250,97,3
169,28,5
234,131,2
77,299,0
163,199,1
164,27,5
178,22,5
172,30,5
231,133,2
248,101,3
162,205,1
79,295,0
230,130,2
174,21,5
169,31,5
275,52,4
165,32,5
177,23,5
159,200,1
172,22,5
163,27,5
276,51,4
173,30,5
96,29,6
236,131,2
168,29,5
278,51,4
171,27,5
249,103,3
274,52,4
247,98,3
174,24,5
252,100,3
272,47,4
164,205,1
277,49,4
175,26,5
170,25,5
250,100,3
234,134,2
164,30,5
251,99,3
158,201,1
253,97,3
100,31,6
95,30,6
232,130,2
231,136,2
76,300,0
161,200,1
273,48,4
98,29,6
99,31,6
94,30,6
75,299,0
176,28,5
163,205,1
251,102,3
97,27,6
78,296,0
230,135,2
177,26,5
159,203,1
172,25,5
163,30,5
278,52,4
168,32,5
96,32,6
162,200,1
230,136,2
167,26,5
247,101,3
252,103,3
253,99,3
272,50,4
100,33,6
277,52,4
95,32,6
170,28,5
275,47,4
165,27,5
77,294,0
179,22,5
276,46,4
173,25,5
158,204,1
168,24,5
248,99,3
95,33,6
232,133,2
161,201,1
80,296,0
249,98,3
233,132,2
167,29,5
274,47,4
79,299,0
235,132,2
175,21,5
236,134,2
170,31,5
94,33,6
160,201,1
171,30,5
276,49,4
166,29,5
97,30,6
78,299,0
174,27,5
169,26,5
81,296,0
233,135,2
76,295,0
162,203,1
250,103,3
166,30,5
175,24,5
