imagecol,imagerow,cluster.init
176,34,5
94,273,0
265,75,4
188,257,1
269,141,3
66,53,6
160,101,3
281,198,3
200,97,3
75,47,6
135,190,1
62,62,6
228,16,5
71,274,0
99,276,0
58,289,0
196,127,2
203,126,2
71,56,6
167,104,3
174,103,3
127,29,6
114,44,6
192,229,1
183,180,1
240,107,3
183,97,3
207,122,2
280,165,3
118,190,1
268,26,5
195,237,1
308,84,5
252,71,4
82,276,0
292,129,4
179,127,2
276,174,3
220,99,3
150,104,3
239,145,2
180,36,5
97,44,6
192,259,1
232,63,4
239,62,4
93,271,0
268,139,3
190,122,2
280,195,3
272,159,3
175,180,1
300,78,5
203,99,3
284,123,4
163,36,5
187,61,4
215,63,4
222,62,4
76,271,0
276,155,3
199,25,5
304,74,5
288,144,4
158,180,1
36,79,6
169,131,2
280,176,3
235,135,2
247,191,2
45,73,6
238,142,2
247,15,5
198,63,4
254,14,5
291,65,5
193,235,1
292,140,4
272,140,3
94,47,6
163,183,1
169,40,5
222,126,2
251,119,3
258,118,3
178,34,5
193,186,1
185,33,5
259,23,5
137,189,1
64,280,0
230,15,5
202,97,3
146,183,1
73,274,0
60,289,0
214,61,4
170,125,2
198,220,1
148,184,1
193,216,1
275,91,4
242,106,3
194,229,1
84,50,6
287,55,5
185,180,1
254,70,4
185,97,3
245,114,3
251,17,5
197,237,1
273,33,5
290,63,5
257,78,4
221,123,2
136,32,6
131,184,1
193,246,1
255,121,3
149,134,2
156,133,2
267,85,4
234,100,3
168,97,3
282,195,3
273,146,3
193,197,1
262,19,5
274,159,3
156,42,5
264,20,5
139,133,2
165,36,5
189,61,4
208,23,5
217,100,3
278,155,3
217,17,5
188,253,1
201,62,4
99,321,0
160,180,1
264,133,3
270,36,5
231,65,4
221,96,3
228,95,3
249,191,2
47,73,6
221,13,5
240,142,2
256,14,5
273,44,5
92,273,0
293,65,5
103,317,0
274,140,3
224,125,2
58,67,6
252,199,2
184,62,4
244,163,2
67,61,6
155,39,5
204,96,3
211,95,3
201,126,2
256,127,3
139,189,1
75,273,0
205,26,5
231,129,2
119,43,6
200,22,5
207,21,5
277,91,4
187,96,3
184,126,2
252,180,2
86,50,6
93,49,6
46,70,6
162,185,1
292,62,5
155,103,3
276,107,4
244,144,2
214,129,2
138,31,6
191,200,1
61,281,0
184,35,5
69,50,6
195,196,1
288,47,5
65,277,0
236,100,3
272,92,4
195,30,5
220,62,4
74,271,0
206,123,2
276,88,4
210,23,5
191,181,1
41,78,6
195,226,1
191,98,3
178,30,5
272,35,5
296,64,5
190,253,1
203,62,4
263,79,4
101,321,0
279,196,3
275,43,5
186,262,1
165,104,3
266,87,4
226,103,3
198,123,2
243,155,2
73,52,6
283,192,3
189,32,5
97,281,0
125,33,6
198,26,5
157,39,5
134,27,6
250,183,2
121,42,6
116,194,1
181,185,1
279,177,3
125,188,1
246,192,2
193,66,4
270,134,3
91,275,0
273,142,3
246,143,2
283,173,3
255,16,5
104,42,6
164,185,1
257,11,5
230,105,3
157,103,3
164,102,3
278,200,3
258,24,5
286,119,4
242,69,4
96,278,0
160,132,2
197,121,2
250,164,2
262,128,3
274,92,4
250,194,2
233,139,2
249,11,5
176,129,2
196,188,1
205,61,4
253,115,3
298,64,5
176,38,5
265,79,4
301,71,5
139,185,1
232,11,5
192,31,5
277,43,5
268,87,4
225,133,2
71,278,0
106,279,0
212,65,4
219,64,4
209,95,3
237,14,5
159,38,5
221,59,4
102,288,0
127,33,6
155,182,1
183,184,1
276,103,4
183,101,3
123,42,6
118,194,1
211,20,5
195,241,1
106,309,0
195,65,4
192,95,3
281,177,3
91,49,6
127,188,1
220,14,5
297,61,5
151,130,2
102,318,0
219,128,2
138,182,1
59,281,0
93,275,0
264,77,4
166,101,3
163,131,2
106,42,6
65,55,6
231,9,5
284,52,5
232,105,3
178,65,4
175,95,3
74,49,6
260,24,5
244,69,4
167,127,2
163,40,5
195,222,1
106,290,0
146,131,2
126,31,6
187,186,1
251,180,2
117,191,1
102,299,0
146,40,5
254,18,5
238,63,4
272,144,3
283,188,3
54,71,6
142,49,5
280,42,5
163,104,3
275,152,3
198,22,5
182,67,4
303,71,5
259,21,5
287,116,4
174,182,1
194,31,5
288,129,4
263,125,3
202,18,5
37,71,6
153,186,1
44,70,6
162,38,5
246,12,5
198,218,1
291,137,4
271,29,5
250,116,3
48,66,6
157,182,1
177,31,5
294,58,5
311,88,5
189,254,1
278,103,4
242,148,2
100,47,6
194,95,3
271,142,3
221,127,2
193,250,1
255,125,3
266,76,4
257,120,3
140,182,1
234,104,3
168,101,3
165,131,2
83,47,6
286,52,5
303,82,5
253,67,4
177,95,3
281,162,3
237,112,3
76,49,6
265,31,5
108,289,0
277,171,3
165,40,5
213,121,2
128,30,6
135,29,6
104,298,0
269,135,3
189,186,1
192,193,1
119,191,1
107,306,0
281,192,3
277,39,5
58,283,0
155,134,2
256,18,5
240,63,4
248,158,2
144,49,5
282,42,5
192,223,1
172,103,3
184,66,4
205,121,2
260,122,3
277,152,3
233,102,3
196,30,5
104,279,0
211,99,3
236,131,2
273,161,3
269,33,5
223,63,4
132,32,6
248,188,2
248,12,5
207,25,5
188,183,1
108,300,0
42,78,6
293,137,4
188,100,3
212,125,2
123,193,1
50,65,6
280,189,3
216,19,5
276,36,5
200,64,4
289,146,4
59,59,6
66,58,6
192,204,1
53,73,6
244,148,2
102,47,6
171,183,1
98,274,0
61,285,0
171,100,3
195,125,2
223,127,2
111,41,6
276,149,3
186,34,5
70,279,0
183,64,4
288,51,5
305,81,5
272,96,4
280,170,3
85,47,6
247,185,2
154,183,1
74,275,0
81,274,0
308,89,5
239,112,3
154,100,3
178,125,2
236,142,2
206,127,2
194,242,1
193,97,3
183,128,2
194,193,1
191,264,1
64,274,0
187,28,5
299,76,5
197,201,1
227,129,2
60,283,0
283,121,4
230,136,2
157,134,2
198,214,1
247,166,2
275,85,4
259,130,3
239,10,5
166,128,2
33,76,6
194,223,1
287,49,5
226,62,4
271,94,4
238,109,3
243,114,3
134,31,6
191,245,1
166,37,5
101,306,0
197,61,4
173,36,5
104,313,0
279,181,3
125,192,1
246,196,2
190,183,1
190,100,3
209,62,4
134,186,1
282,189,3
218,19,5
278,36,5
202,64,4
68,58,6
226,126,2
279,49,5
194,204,1
257,15,5
100,273,0
113,40,6
145,181,1
249,155,2
120,39,6
173,183,1
152,45,5
249,72,4
173,100,3
103,281,0
72,54,6
251,67,4
185,64,4
289,131,4
262,132,3
279,162,3
242,111,3
246,177,2
209,126,2
124,35,6
307,81,5
212,13,5
83,273,0
144,136,2
282,170,3
133,29,6
249,185,2
156,183,1
310,89,5
156,100,3
277,104,4
294,134,4
103,311,0
250,198,2
241,149,2
278,179,3
